x-coordinate, y-coordinate
0.110267006251,8.21213090354
0.160050525059,8.19822909567
0.206807936945,8.18354947407
0.254911385178,8.16553192348
0.303173618711,8.14710477405
0.34817048372,8.12604697335
0.392830314057,8.10419057058
0.435204575798,8.07984861105
0.477573563432,8.05458801888
0.51854866215,8.02730473917
0.55873721689,7.99865684361
0.601087811986,7.96547621301
0.641160095811,7.93381406276
0.676771016754,7.89861927437
0.711520586213,7.86352951431
0.744853912492,7.82627441634
0.776861628202,7.78729204914
0.809482448815,7.74941297112
0.837202276734,7.70785816999
0.864832982879,7.66637048598
0.891818799269,7.62484753424
0.915730778926,7.58028752844
0.938896608966,7.5334143432
0.960401227681,7.48943147619
